ClassId,Total_Existed,Total_Failed_Guess,Total_Guessed
0,60,7,57
1,720,27,711
2,750,37,742
3,450,14,489
4,660,31,643
5,630,40,784
6,150,27,144
7,450,108,348
8,450,98,366
9,480,5,501
10,660,10,659
11,420,58,429
12,690,1,701
13,720,8,713
14,270,7,263
15,210,3,217
16,150,6,147
17,360,9,351
18,390,165,233
19,60,2,61
20,90,1,114
21,90,21,71
22,120,15,106
23,150,20,147
24,90,23,72
25,480,56,433
26,180,0,357
27,60,31,43
28,150,6,158
29,90,0,95
30,150,32,209
31,270,13,278
32,60,0,177
33,210,3,209
34,120,2,124
35,390,8,392
36,120,10,110
37,60,7,59
38,690,44,646
39,90,5,85
40,90,11,93
41,60,40,22
42,90,19,71
